State,Population
Phoenix,"1,608,139"
Austin,"961,855"
Columbus,"905,748"
Indianapolis,"887,642"
Denver,"715,522"
Nashville,"689,447"
Oklahoma City,"681,054"
Boston,"675,647"
Sacramento,"524,943"
Atlanta,"498,715"
Raleigh,"467,665"
Honolulu,"350,964"
Saint Paul,"311,527"
Lincoln,"291,082"
Madison,"269,840"
Boise,"235,684"
Baton Rouge,"227,470"
Richmond,"226,610"
Des Moines,"214,133"
Little Rock,"202,591"
Montgomery,"200,603"
Salt Lake City,"199,723"
Tallahassee,"196,169"
Providence,"190,934"
Salem,"175,535"
Jackson,"153,701"
Columbia,"136,632"
Topeka,"126,587"
Hartford,"121,054"
Springfield,"114,394"
Lansing,"112,644"
Albany,"99,224"
Trenton,"90,871"
Santa Fe,"87,505"
Bismarck,"73,622"
Cheyenne,"65,132"
Carson City,"58,639"
Olympia,"55,605"
Harrisburg,"50,099"
Charleston,"48,864"
Concord,"43,976"
Jefferson City,"43,228"
Annapolis,"40,812"
Dover,"39,403"
Juneau,"32,255"
Helena,"32,091"
Frankfort,"28,602"
Augusta,"18,899"
Pierre,"14,091"
Montpelier,"8,074"
