Capitale,Population
Arizona,1608139
Texas,961855
Ohio,905748
Indiana,887642
Colorado,715522
Tennessee,689447
Oklahoma,681054
Massachusetts,675647
California,524943
Georgia,498715
North Carolina,467665
Hawaii,350964
Minnesota,311527
Nebraska,291082
Wisconsin,269840
Idaho,235684
Louisiana,227470
Virginia,226610
Iowa,214133
Arkansas,202591
Alabama,200603
Utah,199723
Florida,196169
Rhode Island,190934
Oregon,175535
Mississippi,153701
South Carolina,136632
Kansas,126587
Connecticut,121054
Illinois,114394
Michigan,112644
New York,99224
New Jersey,90871
New Mexico,87505
North Dakota,73622
Wyoming,65132
Nevada,58639
Washington,55605
Pennsylvania,50099
West Virginia,48864
New Hampshire,43976
Missouri,43228
Maryland,40812
Delaware,39403
Alaska,32255
Montana,32091
Kentucky,28602
Maine,18899
South Dakota,14091
Vermont,8074
